Pcr070,Smi165,Bce020,Adi001,Adi002,Adi003,Age001,Aga001,Aga002,Asu001,Aru001,Aru127,Ama006,Ama018,Aza037,Aza135,Ape001,Ape009
0,0.05355168357666904,0.06779285168484335,0.07946022773077632,0.07881855818039228,0.07980723206485961,0.0771897683243971,0.0631965603930436,0.0629103327934772,0.06293789813327756,0.06283852457681877,0.064034718638707,0.06306007306292637,0.0634992355215523,0.06314271941291746,0.06278724853436858,0.06212633386990383,0.0629581595994496
0.05355168357666904,0,0.06139681366582114,0.06802188681750994,0.06753888893306725,0.0684494071896392,0.06599038983993138,0.05131553038636093,0.05093407852739679,0.05100855366835466,0.05065363675395437,0.052070039086508035,0.05093093769606852,0.051228763009594086,0.05103713237101918,0.0506690839413621,0.05010875633713204,0.0508449112013201
0.06779285168484335,0.06139681366582114,0,0.08249110634948009,0.08145566243956837,0.08293889494038212,0.0793358349143809,0.06890012667140771,0.06854475932678697,0.0686292757714915,0.06824535340806498,0.06933668320078473,0.06834686910463908,0.06882971194175269,0.06876312411063691,0.06797424004098171,0.06788144409844701,0.06819118705061661
0.07946022773077632,0.06802188681750994,0.08249110634948009,0,0.020495775776645037,0.019987144530817423,0.04621224117767087,0.04350738278658433,0.04311937835692025,0.043247511174012696,0.043575833864210205,0.04393822474798572,0.04386002012914,0.044347892033406305,0.04404298553928046,0.04368211822590902,0.042896658875255705,0.04355464001209984
0.07881855818039228,0.06753888893306725,0.08145566243956837,0.020495775776645037,0,0.018749106685529184,0.04641981117334373,0.043076971026126905,0.042654355763462264,0.04259070385610037,0.043093423306830955,0.043614664199493745,0.04322315242934153,0.04382930987941334,0.04322330631046841,0.04315125993797106,0.04233192950487378,0.04269449815409518
0.07980723206485961,0.0684494071896392,0.08293889494038212,0.019987144530817423,0.018749106685529184,0,0.04662813711859805,0.044144436024303235,0.04345685269197554,0.04365477945566467,0.04417894829824942,0.04443380638078393,0.04412793053178798,0.04463593504054078,0.04405904993538458,0.04394111940000126,0.0434040332310546,0.04393776602392618
0.0771897683243971,0.06599038983993138,0.0793358349143809,0.04621224117767087,0.04641981117334373,0.04662813711859805,0,0.0418123377509913,0.04148936465539366,0.04146474488452742,0.0414367069637337,0.0427532010159898,0.04209252198826918,0.042543334024019615,0.04220794696049657,0.042495491180712865,0.04098484651520786,0.04210247947927306
0.0631965603930436,0.05131553038636093,0.06890012667140771,0.04350738278658433,0.043076971026126905,0.044144436024303235,0.0418123377509913,0,0.00647830484161052,0.010337839586326485,0.01655797128267236,0.017401590257923524,0.0158563448692337,0.0163556003705469,0.01597940156717041,0.015440571017489893,0.015091442961283678,0.015484931554756607
0.0629103327934772,0.05093407852739679,0.06854475932678697,0.04311937835692025,0.042654355763462264,0.04345685269197554,0.04148936465539366,0.00647830484161052,0,0.010627936610331668,0.016151852297588008,0.017248342879763096,0.015627552606505234,0.015870574323564562,0.01599069862260678,0.015705877541146798,0.014960717176916995,0.015619732416134133
0.06293789813327756,0.05100855366835466,0.0686292757714915,0.043247511174012696,0.04259070385610037,0.04365477945566467,0.04146474488452742,0.010337839586326485,0.010627936610331668,0,0.01657280007185838,0.01733891879399505,0.015367527271704982,0.016086560780290627,0.015868463916139428,0.015214420128435845,0.015153759084814462,0.015459775848832654
0.06283852457681877,0.05065363675395437,0.06824535340806498,0.043575833864210205,0.043093423306830955,0.04417894829824942,0.0414367069637337,0.01655797128267236,0.016151852297588008,0.01657280007185838,0,0.008115383383959654,0.015946194301780042,0.016520516186943484,0.01637416829730696,0.015778426460619128,0.01505856352079838,0.016157850265528215
0.064034718638707,0.052070039086508035,0.06933668320078473,0.04393822474798572,0.043614664199493745,0.04443380638078393,0.0427532010159898,0.017401590257923524,0.017248342879763096,0.01733891879399505,0.008115383383959654,0,0.015782775975771962,0.015852812645819187,0.016462744846496156,0.01551649888345131,0.015450258388721454,0.015983894607118822
0.06306007306292637,0.05093093769606852,0.06834686910463908,0.04386002012914,0.04322315242934153,0.04412793053178798,0.04209252198826918,0.0158563448692337,0.015627552606505234,0.015367527271704982,0.015946194301780042,0.015782775975771962,0,0.006655195521361765,0.008941464217879521,0.009622473302462058,0.009288852122064187,0.009120624406050775
0.0634992355215523,0.051228763009594086,0.06882971194175269,0.044347892033406305,0.04382930987941334,0.04463593504054078,0.042543334024019615,0.0163556003705469,0.015870574323564562,0.016086560780290627,0.016520516186943484,0.015852812645819187,0.006655195521361765,0,0.009605249025180188,0.010746736080456721,0.00939645730038593,0.009586651699500515
0.06314271941291746,0.05103713237101918,0.06876312411063691,0.04404298553928046,0.04322330631046841,0.04405904993538458,0.04220794696049657,0.01597940156717041,0.01599069862260678,0.015868463916139428,0.01637416829730696,0.016462744846496156,0.008941464217879521,0.009605249025180188,0,0.00939760275415305,0.009229965942176161,0.00916798177434057
0.06278724853436858,0.0506690839413621,0.06797424004098171,0.04368211822590902,0.04315125993797106,0.04394111940000126,0.042495491180712865,0.015440571017489893,0.015705877541146798,0.015214420128435845,0.015778426460619128,0.01551649888345131,0.009622473302462058,0.010746736080456721,0.00939760275415305,0,0.010285986173745649,0.010032641431901516
0.06212633386990383,0.05010875633713204,0.06788144409844701,0.042896658875255705,0.04233192950487378,0.0434040332310546,0.04098484651520786,0.015091442961283678,0.014960717176916995,0.015153759084814462,0.01505856352079838,0.015450258388721454,0.009288852122064187,0.00939645730038593,0.009229965942176161,0.010285986173745649,0,0.006701900273561676
0.0629581595994496,0.0508449112013201,0.06819118705061661,0.04355464001209984,0.04269449815409518,0.04393776602392618,0.04210247947927306,0.015484931554756607,0.015619732416134133,0.015459775848832654,0.016157850265528215,0.015983894607118822,0.009120624406050775,0.009586651699500515,0.00916798177434057,0.010032641431901516,0.006701900273561676,0
